z_acc,y_acc,push_detect,z_dynpeak
0,0,0,20
0,0,0,20
93,26,0,20
93,26,1,20
10,4,0,23
0,1,0,23
-1,-1,0,23
0,0,0,23
0,-1,0,23
-1,0,0,23
-1,-1,0,23
-1,-1,0,23
1,-1,0,23
0,-1,0,23
-1,0,0,23
0,0,0,23
-4,0,0,23
-77,1,0,23
174,-28,0,23
174,-28,1,23
-84,18,0,30
-32,3,0,30
19,-1,0,30
-8,3,0,30
2,2,0,30
10,0,0,30
-30,-1,0,30
-93,-24,0,30
101,15,0,30
101,15,1,30
-9,8,0,33
26,-4,0,33
-7,3,0,29
-5,1,0,29
11,1,0,29
-36,-1,0,29
73,-63,0,29
48,43,0,31
48,43,1,31
-117,13,0,31
44,-5,0,31
-23,4,0,31
-3,-1,0,31
1,3,0,31
5,-2,0,31
-4,-1,0,31
-173,1,0,31
262,-67,0,31
-123,62,0,42
9,4,0,42
8,8,0,42
11,-9,0,42
-8,4,0,42
10,1,0,42
-205,-8,0,42
290,-60,0,42
-91,50,0,54
-21,9,0,54
35,-4,0,54
-11,3,0,44
-2,5,0,44
-16,0,0,44
-105,-3,0,44
215,-94,0,44
-115,79,0,52
-24,8,0,52
41,-6,0,52
-9,1,0,46
11,-1,0,46
9,-3,0,46
-8,-1,0,46
1,-2,0,46
101,-12,0,46
101,-12,1,46
-303,27,0,48
184,-2,0,48
37,-2,0,54
-24,3,0,45
-2,-3,0,45
-4,-4,0,45
-12,-2,0,45
118,-34,0,45
118,-34,1,45
-229,27,0,48
69,7,0,48
81,-2,0,49
-26,1,0,50
0,-1,0,50
-10,-6,0,50
8,-4,0,50
97,-20,0,50
97,-20,1,50
-265,25,0,52
204,3,0,52
-36,1,0,59
6,-7,0,59
-6,0,0,59
-2,-4,0,59
-3,-2,0,59
3,-2,0,59
-4,0,0,59
0,-3,0,59
2,0,0,59
-1,0,0,59
0,-2,0,59
-2,-1,0,59
0,0,0,59
0,0,0,59
0,-1,0,59
-4,-1,0,59
3,-1,0,59
-2,-1,0,59
0,-1,0,59
1,-1,0,59
-3,-1,0,59
0,0,0,59
1,0,0,59
-1,-1,0,59
