z_acc,y_acc,push_detect,z_dynpeak
-1,0,0,36
0,-2,0,36
0,-1,0,36
-1,1,0,36
-1,0,0,36
1,-1,0,36
0,0,0,36
-2,-1,0,36
2,-1,0,36
0,-1,0,36
-1,0,0,36
-2,0,0,36
0,0,0,36
-2,1,0,36
1,-2,0,36
0,0,0,36
-4,0,0,36
0,-2,0,36
1,-1,0,36
-2,0,0,36
-2,0,0,36
3,-1,0,36
2,-2,0,36
27,0,0,36
-8,-1,0,33
-17,-2,0,33
20,6,0,33
-4,-8,0,33
-31,7,0,33
-29,-7,0,33
-65,8,0,33
-78,-10,0,33
144,-31,0,33
144,-31,1,33
158,5,0,44
-35,9,0,55
-87,14,0,55
-55,2,0,55
21,-1,0,55
57,-3,0,43
16,0,0,44
-26,0,0,44
-1,0,0,44
-11,-1,0,44
-19,2,0,44
-22,3,0,44
-17,5,0,44
-63,8,0,44
-67,-21,0,44
258,-54,0,44
55,18,0,65
-116,24,0,61
-66,15,0,61
-4,-3,0,61
67,-1,0,61
67,-1,1,61
-2,-2,0,61
-10,-3,0,61
-2,-1,0,61
9,0,0,61
-1,-3,0,61
36,3,0,61
0,0,0,52
-34,-1,0,52
-45,3,0,52
-37,11,0,52
-116,5,0,52
-30,-42,0,52
313,2,0,52
313,2,1,52
28,-5,0,78
-160,16,0,61
-29,10,0,61
26,-1,0,61
34,-2,0,49
5,3,0,44
-3,-4,0,44
7,-4,0,44
-1,-1,0,44
12,0,0,44
3,-2,0,44
-5,2,0,44
-5,3,0,44
-22,3,0,44
-35,9,0,44
-33,14,0,44
-92,32,0,44
-134,-19,0,44
219,-76,0,44
188,-37,0,61
188,-37,1,61
-27,37,0,73
-110,18,0,73
-40,3,0,73
37,13,0,73
23,10,0,61
38,-4,0,48
-7,-6,0,44
-22,-1,0,44
4,-2,0,44
-25,7,0,44
-27,6,0,44
-43,10,0,44
-30,24,0,44
-174,-11,0,44
-26,-53,0,44
397,-43,0,44
397,-43,1,44
39,3,0,79
-98,15,0,65
-52,22,0,65
-23,7,0,65
8,11,0,65
40,2,0,65
18,-7,0,56
-2,-7,0,56
-6,-4,0,56
-4,4,0,56
-27,17,0,56
-55,19,0,56
-41,40,0,56
-182,-34,0,56
-19,-44,0,56
398,-49,0,56
398,-49,1,56
39,-9,0,90
-97,34,0,73
-84,20,0,73
-15,7,0,73
30,7,0,73
14,5,0,58
5,0,0,58
-6,-3,0,58
3,2,0,58
-4,-1,0,58
-9,4,0,58
-16,6,0,58
-3,-2,0,58
9,-3,0,58
9,0,0,58
3,-4,0,58
56,-11,0,58
90,-33,0,57
90,-33,1,57
9,-17,0,60
-167,7,0,60
-87,52,0,60
-142,36,0,60
-13,-19,0,60
230,-27,0,60
122,1,0,77
-92,-5,0,81
1,0,0,81
7,8,0,81
-60,2,0,81
-2,-5,0,81
32,-6,0,81
73,-3,0,64
73,-3,1,64
82,-17,0,64
8,-35,0,65
-22,-5,0,65
-227,17,0,65
-177,45,0,65
-9,21,0,65
189,-19,0,65
135,3,0,77
-34,-6,0,82
-21,-3,0,82
0,4,0,82
-3,2,0,82
4,1,0,82
20,-6,0,82
79,-6,0,82
52,-18,0,81
5,-39,0,71
-116,-6,0,71
-192,44,0,71
-124,46,0,71
66,-15,0,71
237,-14,0,69
237,-14,1,69
23,-3,0,85
-65,0,0,64
4,-3,0,64
28,3,0,64
-28,-1,0,52
27,-11,0,52
14,-4,0,43
-1,-11,0,43
0,-11,0,43
8,-8,0,43
-13,16,0,43
8,-45,0,43
9,-4,0,43
6,-3,0,43
-1,3,0,43
20,24,0,43
-26,-7,0,43
-27,-9,0,43
22,11,0,43
-2,1,0,36
14,1,0,36
-19,-14,0,36
-10,-7,0,36
4,-1,0,36
26,-5,0,36
-12,2,0,32
-17,3,0,32
10,3,0,32
-2,1,0,32
-7,-5,0,32
-35,-4,0,32
105,15,0,32
105,15,1,32
-50,-15,0,39
6,-10,0,39
-18,15,0,39
1,-6,0,39
-4,-6,0,39
-4,2,0,39
1,1,0,39
-1,-3,0,39
0,-1,0,39
-1,1,0,39
0,0,0,39
0,-3,0,39
0,-1,0,39
0,2,0,39
-1,-1,0,39
30,1,0,39
-29,-3,0,36
-2,2,0,36
1,-4,0,36
-1,0,0,36
-2,2,0,36
-1,-3,0,36
