z_acc,y_acc,push_detect,z_dynpeak
0,0,0,20
92,33,0,20
92,33,1,20
6,5,0,23
-2,0,0,23
-1,2,0,23
-4,3,0,23
-3,-1,0,23
0,0,0,23
7,-1,0,23
-5,-2,0,23
0,-2,0,23
2,-1,0,23
-1,1,0,23
-2,-1,0,23
1,-1,0,23
2,-1,0,23
0,-1,0,23
0,-2,0,23
-47,10,0,23
89,-49,0,23
89,-49,1,23
-8,34,0,26
-61,3,0,26
15,-1,0,26
0,1,0,26
1,2,0,26
4,-1,0,26
-52,8,0,26
81,-62,0,26
-10,41,0,28
-49,4,0,28
31,-2,0,28
31,-2,1,28
-2,5,0,28
-5,3,0,28
-68,5,0,28
173,-40,0,28
173,-40,1,28
-112,17,0,35
-4,10,0,35
17,-4,0,35
-5,1,0,35
-1,5,0,35
-44,4,0,35
131,-45,0,35
131,-45,1,35
-65,26,0,39
-56,10,0,39
29,-5,0,39
-6,2,0,34
1,4,0,34
2,-3,0,34
-10,-4,0,34
17,-3,0,34
-4,1,0,34
0,0,0,34
-2,0,0,34
-3,4,0,34
-39,-70,0,34
85,16,0,34
85,16,1,34
-85,30,0,36
41,2,0,36
-6,6,0,36
10,10,0,36
-17,2,0,36
1,1,0,36
-26,2,0,36
-161,-27,0,36
283,0,0,36
283,0,1,36
-120,3,0,48
1,3,0,48
15,5,0,48
16,6,0,48
-3,0,0,48
8,1,0,48
-75,-6,0,48
130,-77,0,48
-87,58,0,52
-9,8,0,52
38,0,0,52
-19,5,0,45
11,2,0,45
-1,2,0,45
-2,2,0,45
-290,-22,0,45
368,30,0,45
368,30,1,45
-113,-26,0,61
36,1,0,61
-11,5,0,48
3,4,0,48
-6,-3,0,48
13,-4,0,48
101,-8,0,48
101,-8,1,48
-273,15,0,50
252,-8,0,50
-80,5,0,60
-20,2,0,60
20,-3,0,60
-5,0,0,60
2,0,0,60
105,-1,0,60
105,-1,1,60
-346,6,0,62
283,13,0,62
-58,-15,0,73
17,-9,0,73
-4,1,0,73
-13,-1,0,73
106,-1,0,73
106,-1,1,73
-266,-37,0,74
215,24,0,74
-34,14,0,81
-23,4,0,81
10,-5,0,81
4,0,0,81
-6,2,0,81
1,-5,0,81
-3,-1,0,81
4,1,0,81
-6,0,0,81
2,-3,0,81
-1,2,0,81
1,-1,0,81
-2,1,0,81
0,-1,0,81
0,1,0,81
-9,-1,0,81
5,1,0,81
1,3,0,81
1,-37,0,81
-3,-5,0,81
