z_acc,y_acc,push_detect,z_dynpeak
2,1,0,27
2,-5,0,27
3,-3,0,27
1,-4,0,27
2,0,0,27
0,1,0,27
0,6,0,27
0,3,0,27
-4,-5,0,27
1,-2,0,27
-2,1,0,27
7,1,0,27
0,-1,0,27
-1,-3,0,27
3,-1,0,27
0,1,0,27
1,0,0,27
9,-5,0,27
-1,1,0,27
-12,3,0,27
-25,-2,0,27
-22,-3,0,27
-27,-4,0,27
-129,-24,0,27
-43,63,0,27
311,-14,0,27
311,-14,1,27
58,-36,0,55
-48,7,0,55
-119,35,0,55
-8,-15,0,55
22,-20,0,55
18,-7,0,44
5,5,0,44
5,3,0,44
4,4,0,44
-2,-7,0,44
-32,-1,0,44
-37,0,0,44
-34,-8,0,44
-158,-11,0,44
170,89,0,44
180,-94,0,56
-7,-1,0,68
-150,49,0,68
-12,-7,0,68
44,-18,0,68
19,-8,0,60
10,3,0,60
-5,2,0,60
-5,3,0,60
19,-2,0,60
4,1,0,60
-40,-9,0,60
-49,-2,0,60
-92,-23,0,60
-128,65,0,60
310,1,0,60
310,1,1,60
91,-87,0,85
-133,67,0,85
-98,28,0,85
64,-37,0,85
48,-23,0,78
0,3,0,68
-14,10,0,68
-5,-2,0,68
-3,-2,0,68
-1,-1,0,68
3,-1,0,68
2,-1,0,68
10,-1,0,68
9,-3,0,68
0,2,0,68
-4,-1,0,68
-8,-3,0,68
-5,1,0,68
3,-6,0,68
-13,-5,0,68
-20,-2,0,68
-39,0,0,68
-78,-43,0,68
-130,61,0,68
215,72,0,68
170,-14,0,82
170,-14,1,82
26,-84,0,90
-69,38,0,68
-96,8,0,68
5,-29,0,68
19,-16,0,68
7,1,0,68
2,10,0,68
-10,2,0,68
4,-8,0,68
-21,-1,0,68
-39,-5,0,68
-34,-4,0,68
-49,-19,0,68
-126,-3,0,68
31,95,0,68
311,-64,0,55
54,-29,0,80
-21,24,0,71
-120,55,0,71
-26,-26,0,71
40,-35,0,71
8,-1,0,60
8,11,0,60
-5,3,0,60
-41,-8,0,60
-56,-9,0,60
-55,-33,0,60
-130,-15,0,60
-36,140,0,60
376,-43,0,60
376,-43,1,60
53,-78,0,91
-160,122,0,78
-65,-35,0,78
15,-57,0,78
35,-22,0,78
24,7,0,63
-3,21,0,50
3,5,0,50
10,-6,0,50
-1,-3,0,50
-2,-1,0,50
-4,-1,0,50
0,4,0,50
57,1,0,50
57,1,1,50
76,-44,0,50
12,24,0,52
-100,83,0,52
-228,-8,0,52
-99,-44,0,52
15,-34,0,52
245,34,0,52
68,-16,0,71
-20,-1,0,70
-19,-1,0,70
-27,2,0,70
1,-5,0,70
3,-5,0,70
19,-3,0,70
58,1,0,70
66,-27,0,66
-31,31,0,66
-168,54,0,66
-172,-44,0,66
-35,-43,0,66
165,36,0,66
165,36,1,66
136,18,0,75
-30,-13,0,81
-2,-4,0,81
-2,-6,0,81
70,1,0,81
65,-35,0,77
10,16,0,73
-106,96,0,73
-243,-8,0,73
-81,-116,0,73
121,34,0,73
121,34,1,73
236,34,0,77
-43,-11,0,92
-44,-12,0,92
0,-2,0,92
-13,10,0,92
18,-2,0,92
6,-1,0,92
1,5,0,92
12,12,0,92
-3,-5,0,92
7,8,0,92
9,4,0,92
7,6,0,92
-3,-1,0,92
2,-5,0,92
14,23,0,92
1,3,0,92
-23,0,0,92
-11,6,0,92
20,-1,0,92
-11,0,0,92
1,4,0,92
-9,14,0,92
19,8,0,92
-7,-6,0,92
-8,-7,0,92
1,0,0,92
-2,-1,0,92
0,-1,0,92
0,0,0,92
-1,0,0,92
1,0,0,92
-2,0,0,92
0,0,0,92
0,-1,0,92
0,-1,0,92
-1,0,0,92
0,-1,0,92
-1,-1,0,92
-1,-1,0,92
0,-1,0,92
25,3,0,92
-34,-6,0,69
