z_acc,y_acc,push_detect,z_dynpeak
98,-15,0,20
98,-15,1,20
14,-4,0,23
-2,-3,0,23
1,-1,0,23
-1,1,0,23
0,0,0,23
1,0,0,23
8,0,0,23
-4,10,0,23
-1,4,0,23
0,7,0,23
-9,6,0,23
-7,2,0,23
3,4,0,23
0,3,0,23
-3,1,0,23
4,2,0,23
2,0,0,23
3,-1,0,23
-5,2,0,23
-64,5,0,23
135,-33,0,23
135,-33,1,23
-46,20,0,28
-63,3,0,28
30,4,0,28
30,4,1,28
0,4,0,28
-40,6,0,28
-48,-30,0,28
169,4,0,28
169,4,1,28
-90,10,0,35
14,0,0,35
-10,5,0,35
-2,2,0,35
-178,-3,0,35
265,-3,0,35
265,-3,1,35
-86,5,0,46
-7,1,0,46
-5,1,0,46
7,-1,0,46
12,4,0,46
5,-3,0,46
-152,-1,0,46
218,-95,0,46
-109,76,0,54
13,16,0,54
18,-2,0,54
-1,-3,0,54
-110,13,0,54
184,-99,0,54
-109,82,0,60
21,4,0,60
15,-2,0,40
-1,-1,0,40
-89,10,0,40
143,-96,0,40
-70,80,0,45
-19,-2,0,45
44,-7,0,45
-18,-2,0,44
7,-1,0,44
-3,2,0,44
18,-3,0,44
80,-7,0,44
80,-7,1,44
-308,20,0,45
218,5,0,45
-6,4,0,53
-6,-8,0,53
-2,-2,0,53
18,-10,0,53
-4,-7,0,53
-163,20,0,53
162,-5,0,53
162,-5,1,53
-3,0,0,58
-6,-3,0,58
1,-5,0,58
7,-5,0,58
6,-12,0,58
-140,17,0,58
145,9,0,58
145,9,1,58
-26,1,0,62
12,-9,0,62
-13,-1,0,62
1,-5,0,62
-4,0,0,62
5,-3,0,62
-4,-2,0,62
-1,0,0,62
1,-1,0,62
-1,-2,0,62
-1,-4,0,62
-1,-2,0,62
4,-1,0,62
-3,-1,0,62
0,-2,0,62
-1,0,0,62
-2,1,0,62
1,0,0,62
-1,-1,0,62
3,-1,0,62
-5,-1,0,62
2,0,0,62
-1,1,0,62
-1,-2,0,62
-1,0,0,62
3,-6,0,62
-2,-1,0,62
-2,0,0,62
1,0,0,62
0,-1,0,62
-2,0,0,62
-1,-1,0,62
3,0,0,62
-1,0,0,62
-1,0,0,62
