z_acc,y_acc,push_detect,z_dynpeak
-4,0,0,26
-2,0,0,26
3,-2,0,26
2,0,0,26
-3,0,0,26
-3,-1,0,26
2,-1,0,26
1,0,0,26
0,0,0,26
-1,-1,0,26
-3,-1,0,26
-2,-1,0,26
-1,-1,0,26
-1,-1,0,26
2,0,0,26
0,-1,0,26
-1,0,0,26
-2,-1,0,26
0,-1,0,26
1,-1,0,26
0,0,0,26
-2,1,0,26
-2,-1,0,26
-1,0,0,26
0,-2,0,26
-1,0,0,26
0,-1,0,26
0,0,0,26
-1,0,0,26
-1,0,0,26
-1,-1,0,26
0,0,0,26
-2,-1,0,26
0,-1,0,26
3,-1,0,26
0,-1,0,26
-3,0,0,26
0,0,0,26
0,-1,0,26
0,0,0,26
9,0,0,26
13,0,0,26
10,-1,0,26
0,0,0,26
1,-1,0,26
-1,-2,0,26
-2,2,0,26
-8,2,0,26
-15,-1,0,26
-15,-1,0,26
-10,2,0,26
-22,0,0,26
-18,0,0,26
-19,-2,0,26
-32,-3,0,26
-26,-1,0,26
-28,-2,0,26
5,-3,0,26
31,-8,0,26
31,-8,1,26
185,11,0,26
-66,-1,0,41
-23,-2,0,41
-16,-1,0,41
0,-2,0,41
4,2,0,41
7,1,0,41
11,1,0,41
5,0,0,41
13,-1,0,41
9,0,0,41
11,-1,0,41
1,0,0,41
2,0,0,41
5,-1,0,41
6,-2,0,41
5,-2,0,41
-6,-2,0,41
-45,-2,0,41
-18,1,0,41
-22,0,0,41
-43,2,0,41
-23,1,0,41
-26,6,0,41
-14,-1,0,41
79,-21,0,41
79,-21,1,41
73,-3,0,44
58,8,0,46
-14,-32,0,47
12,-4,0,47
33,30,0,47
-44,12,0,42
-29,2,0,42
-45,-2,0,42
-20,-2,0,42
-1,-2,0,42
2,-2,0,42
2,-1,0,42
18,0,0,42
6,-1,0,42
4,-1,0,42
8,-2,0,42
2,0,0,42
-2,0,0,42
0,0,0,42
7,-2,0,42
9,0,0,42
6,0,0,42
10,0,0,42
-1,1,0,42
-7,-1,0,42
-15,-3,0,42
-22,-1,0,42
-35,3,0,42
-18,1,0,42
-45,3,0,42
-26,3,0,42
-33,6,0,42
-10,-2,0,42
35,-14,0,42
107,-12,0,39
107,-12,1,39
75,8,0,45
4,5,0,48
-24,-15,0,48
40,-13,0,48
29,31,0,45
-24,0,0,39
-62,0,0,39
-32,-2,0,39
-27,-2,0,39
4,0,0,39
6,1,0,39
5,-1,0,39
6,-3,0,39
6,-2,0,39
5,-1,0,39
9,-1,0,39
2,-1,0,39
-4,-1,0,39
-4,-1,0,39
-4,-1,0,39
3,-1,0,39
3,1,0,39
-4,1,0,39
2,-1,0,39
5,-1,0,39
13,-2,0,39
0,-1,0,39
-5,-2,0,39
-2,-2,0,39
0,-1,0,39
1,1,0,39
2,1,0,39
-15,4,0,39
-24,4,0,39
-10,2,0,39
-10,2,0,39
-6,2,0,39
-12,6,0,39
-24,9,0,39
-26,5,0,39
-83,20,0,39
-52,16,0,39
-43,11,0,39
253,-69,0,39
126,-9,0,60
126,-9,1,60
20,-3,0,66
2,-40,0,66
0,-43,0,66
-1,45,0,66
0,0,0,66
-101,-2,0,66
-63,-3,0,66
-40,7,0,66
-2,7,0,66
38,17,0,66
34,5,0,56
19,0,0,48
12,2,0,48
3,0,0,48
1,0,0,48
2,-3,0,48
1,-2,0,48
8,-2,0,48
7,-3,0,48
4,-5,0,48
-13,3,0,48
-19,2,0,48
-31,-1,0,48
-17,1,0,48
-28,4,0,48
-28,9,0,48
-13,8,0,48
-24,12,0,48
-19,4,0,48
-75,10,0,48
-44,11,0,48
20,-14,0,48
32,-12,0,48
93,-14,0,42
93,-14,1,42
83,-8,0,47
50,-37,0,50
53,-41,0,50
37,24,0,50
3,28,0,45
0,-8,0,45
-6,-8,0,45
-103,-8,0,45
-47,9,0,45
-13,9,0,45
1,5,0,45
8,8,0,45
37,8,0,45
17,1,0,42
8,-2,0,42
14,-7,0,42
7,-5,0,42
11,-8,0,42
6,-3,0,42
-20,3,0,42
-17,-2,0,42
-22,-3,0,42
-24,1,0,42
-47,11,0,42
-34,13,0,42
-30,30,0,42
-27,13,0,42
-77,19,0,42
-44,6,0,42
-48,-1,0,42
52,-52,0,42
122,-23,0,43
122,-23,1,43
88,1,0,50
105,6,0,53
16,15,0,58
-61,-125,0,58
102,53,0,58
10,-2,0,62
1,-8,0,62
-126,9,0,62
-47,9,0,62
-10,27,0,62
-6,7,0,62
-7,9,0,62
1,4,0,62
6,3,0,62
4,-1,0,62
20,-3,0,62
27,-7,0,62
1,-3,0,50
-6,0,0,50
-12,0,0,50
-3,0,0,50
6,0,0,50
2,1,0,50
-1,0,0,50
-2,0,0,50
-4,-2,0,50
-1,-1,0,50
3,-3,0,50
5,-4,0,50
2,-2,0,50
0,-1,0,50
9,-1,0,50
2,1,0,50
-1,1,0,50
2,0,0,50
10,-1,0,50
5,0,0,50
33,-3,0,50
39,-4,0,44
31,-14,0,42
3,-38,0,38
0,-3,0,38
-179,34,0,38
-110,20,0,38
-85,25,0,38
-50,17,0,38
13,-7,0,38
53,-10,0,38
53,-10,1,38
21,-3,0,39
39,-11,0,33
62,-7,0,33
34,-3,0,35
34,0,0,34
26,6,0,34
-8,-2,0,31
-14,-2,0,31
-6,-1,0,31
-5,-2,0,31
-2,0,0,31
2,0,0,31
1,0,0,31
17,0,0,31
0,-1,0,31
1,-1,0,31
7,0,0,31
0,-1,0,31
-5,-1,0,31
2,0,0,31
