z_acc,y_acc,push_detect
101,27,1
9,2,0
0,0,0
0,0,0
-1,0,0
0,-1,0
-1,-1,0
-1,0,0
1,-1,0
-1,0,0
0,-1,0
-3,0,0
-1,0,0
0,0,0
-1,-1,0
0,0,0
0,0,0
0,0,0
0,-1,0
-1,0,0
0,-1,0
0,0,0
0,0,0
-1,0,0
-1,0,0
-1,-1,0
-1,-1,0
0,0,0
0,0,0
-1,-1,0
0,0,0
0,-1,0
-1,0,0
0,0,0
-1,-1,0
-1,0,0
-1,-1,0
0,0,0
-1,0,0
-2,0,0
-1,-1,0
0,0,0
0,0,0
-1,-1,0
-1,-1,0
0,0,0
0,0,0
-1,-1,0
1,-1,0
0,0,0
-1,-1,0
0,0,0
0,0,0
-1,-1,0
-2,0,0
-2,0,0
-4,-1,0
-2,1,0
-8,4,0
-7,5,0
-25,5,0
-26,0,0
-13,-2,0
-6,-12,0
8,-8,0
56,-32,0
56,-32,1
109,5,0
22,7,0
2,5,0
-12,4,0
-9,2,0
-21,3,0
-15,1,0
-26,0,0
-11,0,0
-15,0,0
-11,0,0
-5,0,0
-2,1,0
-1,1,0
-2,0,0
-1,-1,0
4,-1,0
5,-2,0
5,-2,0
3,-1,0
2,-1,0
0,-1,0
-1,-2,0
-1,0,0
-3,1,0
-3,1,0
-6,2,0
-9,1,0
-5,0,0
-15,3,0
-32,3,0
-13,-1,0
-3,-2,0
25,-17,0
58,-20,0
58,-20,1
35,-7,0
63,5,0
6,8,0
0,14,0
0,5,0
-18,0,0
-45,-4,0
-22,0,0
-25,-2,0
-11,-1,0
-7,1,0
-1,2,0
1,-1,0
-1,0,0
0,-1,0
1,-1,0
5,0,0
5,-1,0
3,0,0
6,-2,0
2,-1,0
1,-1,0
-1,-1,0
-2,0,0
-3,0,0
-1,0,0
-2,3,0
-2,0,0
-4,2,0
-9,0,0
-17,0,0
-7,1,0
-18,5,0
-12,2,0
-31,1,0
-21,-7,0
-2,-3,0
8,-8,0
23,-14,0
78,-13,0
78,-13,1
89,-3,0
18,2,0
1,11,0
0,9,0
0,10,0
-35,-2,0
-26,-1,0
-38,-4,0
-15,-1,0
-8,0,0
-8,4,0
-4,1,0
-4,-1,0
-3,1,0
-1,-1,0
1,-1,0
1,-1,0
5,-2,0
3,-1,0
6,-2,0
6,-2,0
2,-1,0
0,-2,0
-2,-1,0
-5,-1,0
-1,2,0
0,-1,0
1,0,0
3,1,0
0,0,0
1,-2,0
1,-1,0
1,-1,0
0,0,0
-2,1,0
-3,-2,0
0,0,0
2,1,0
0,0,0
0,-1,0
1,-2,0
2,-1,0
5,2,0
-7,2,0
-8,0,0
-16,-2,0
-19,1,0
-18,15,0
-95,18,0
-63,-21,0
-36,-44,0
18,-1,0
117,10,0
117,10,1
72,-36,0
91,-31,0
45,16,0
4,9,0
0,30,0
0,17,0
0,12,0
-73,-16,0
-28,5,0
-7,4,0
-11,2,0
-10,-1,0
-12,-6,0
-4,-1,0
0,-2,0
7,-1,0
1,3,0
3,-1,0
1,-3,0
11,-2,0
7,-1,0
15,-4,0
17,1,0
2,1,0
-6,0,0
-7,-3,0
-21,6,0
-8,1,0
-16,5,0
-12,1,0
-25,0,0
-14,2,0
-43,17,0
-94,-2,0
-48,-22,0
21,-27,0
52,-2,0
146,-7,0
146,-7,1
69,-8,0
62,-14,0
6,22,0
1,16,0
0,24,0
0,-2,0
-65,-7,0
-49,-3,0
-16,2,0
-5,2,0
-9,-3,0
-4,-2,0
-1,-2,0
0,0,0
6,-1,0
7,-1,0
7,-1,0
11,-1,0
6,-1,0
9,-4,0
6,-1,0
8,-2,0
1,0,0
-2,1,0
-12,0,0
-3,1,0
-3,1,0
0,0,0
4,0,0
2,1,0
-10,3,0
-11,0,0
-21,-1,0
-13,-1,0
-38,10,0
-91,15,0
-64,-11,0
-39,-32,0
26,-4,0
117,-24,0
117,-24,1
185,-17,0
39,13,0
4,8,0
0,17,0
0,6,0
-7,4,0
-34,1,0
-53,-3,0
-28,2,0
-10,3,0
-15,0,0
-7,-1,0
-7,-3,0
0,0,0
2,0,0
5,1,0
3,-2,0
9,-3,0
25,-6,0
13,-3,0
19,2,0
6,1,0
-4,1,0
-16,0,0
-10,-1,0
-13,1,0
-5,0,0
-6,0,0
-1,-1,0
2,-1,0
3,-1,0
0,-1,0
1,-2,0
1,-2,0
2,0,0
4,-3,0
6,0,0
5,2,0
1,3,0
0,0,0
7,-3,0
8,-2,0
19,-4,0
23,-6,0
28,5,0
2,1,0
0,14,0
-23,2,0
-48,-7,0
-86,-6,0
-119,13,0
-43,4,0
-24,1,0
17,-2,0
27,-9,0
78,-17,0
78,-17,1
66,-9,0
94,11,0
24,8,0
0,4,0
-10,-2,0
-20,-3,0
-11,-1,0
-5,0,0
-12,3,0
-7,0,0
-17,0,0
-10,-1,0
-9,0,0
-2,0,0
0,-1,0
2,0,0
3,-1,0
5,-2,0
6,-1,0
7,-1,0
3,-1,0
11,-2,0
6,0,0
12,1,0
21,1,0
14,0,0
25,1,0
6,8,0
0,5,0
-14,-1,0
-32,-5,0
-80,-7,0
-47,-1,0
-85,-3,0
-54,-1,0
-12,2,0
4,3,0
17,-2,0
47,-8,0
38,-6,0
82,2,0
82,2,1
54,9,0
15,5,0
0,4,0
-17,-4,0
-10,-3,0
-4,-3,0
-2,1,0
-4,0,0
-8,-4,0
-5,3,0
-5,0,0
-4,-2,0
-5,1,0
11,0,0
2,0,0
6,-2,0
5,-2,0
16,-3,0
29,-1,0
15,2,0
25,0,0
2,9,0
0,4,0
-56,-8,0
-80,-10,0
-41,-5,0
-70,2,0
-32,2,0
-22,3,0
-2,-1,0
19,-2,0
44,-4,0
29,-3,0
78,-2,0
78,-2,1
40,4,0
37,9,0
1,-1,0
-6,-1,0
-8,-2,0
-3,-2,0
-9,1,0
-13,2,0
-9,0,0
-15,-1,0
-9,-2,0
-7,-1,0
-4,0,0
1,-1,0
1,0,0
1,-1,0
4,-3,0
3,-2,0
1,-1,0
9,-2,0
3,2,0
-6,1,0
-10,-3,0
-5,-1,0
3,-1,0
11,5,0
2,2,0
-2,1,0
-4,-2,0
-7,-2,0
-1,-2,0
7,-5,0
0,0,0
-4,3,0
-4,-3,0
0,-1,0
4,-1,0
-2,0,0
-1,-2,0
0,0,0
-1,2,0
-2,-1,0
-2,-1,0
-3,-1,0
-1,-3,0
2,0,0
1,1,0
0,1,0
0,-2,0
0,0,0
0,0,0
-3,-2,0
1,0,0
1,0,0
2,0,0
0,0,0
-3,-1,0
-1,-1,0
-1,-2,0
-1,-2,0
1,0,0
-1,0,0
-1,0,0
-1,0,0
3,-1,0
-1,1,0
-3,1,0
5,-1,0
-1,1,0
-3,-1,0
0,-2,0
-2,-2,0
-2,0,0
0,2,0
0,-1,0
-2,0,0
0,1,0
-2,0,0
1,-2,0
-3,-1,0
2,-1,0
-1,0,0
-2,-2,0
0,0,0
1,0,0
0,0,0
-2,-2,0
-1,-2,0
0,1,0
0,0,0
0,0,0
1,0,0
0,-1,0
-2,-2,0
-1,-1,0
-1,1,0
-1,1,0
-1,-1,0
0,-3,0
1,1,0
1,0,0
-2,0,0
0,-2,0
0,0,0
-2,0,0
1,-1,0
-1,0,0
-2,-1,0
-1,-1,0
-1,0,0
0,-1,0
-1,-1,0
