z_acc,y_acc,push_detect,z_dynpeak
1,-1,0,49
0,-1,0,49
-2,-1,0,49
-1,-1,0,49
-1,-1,0,49
-1,1,0,49
-1,-2,0,49
-1,-2,0,49
1,1,0,49
-2,-2,0,49
-1,1,0,49
-1,0,0,49
1,1,0,49
-2,-2,0,49
-2,-1,0,49
1,-1,0,49
1,-1,0,49
0,-1,0,49
-2,-1,0,49
1,-1,0,49
-2,1,0,49
-1,-2,0,49
-1,-1,0,49
-1,-1,0,49
-1,-2,0,49
1,1,0,49
-2,0,0,49
-1,1,0,49
-2,-2,0,49
3,-2,0,49
-2,1,0,49
1,0,0,49
-2,1,0,49
-1,-2,0,49
1,-1,0,49
-2,-1,0,49
-1,-2,0,49
-1,1,0,49
-1,1,0,49
-1,-4,0,49
1,1,0,49
-6,-2,0,49
4,1,0,49
-2,1,0,49
-1,-4,0,49
-2,5,0,49
3,-2,0,49
-2,-2,0,49
-1,-1,0,49
1,-1,0,49
-2,-2,0,49
-1,14,0,49
-1,-15,0,49
-1,0,0,49
-1,9,0,49
1,17,0,49
0,-8,0,49
5,-18,0,49
2,-2,0,49
5,1,0,49
9,-6,0,49
-5,-3,0,49
-8,-10,0,49
-18,-9,0,49
-15,-3,0,49
9,5,0,49
4,-4,0,49
-4,-6,0,49
-1,-5,0,49
9,3,0,49
-1,16,0,49
1,-10,0,49
-6,0,0,49
-3,-11,0,49
3,-5,0,49
-2,-5,0,49
-4,8,0,49
-8,4,0,49
8,29,0,49
-9,-36,0,49
4,-11,0,49
0,-5,0,49
-4,-1,0,49
-1,-4,0,49
-1,-4,0,49
-2,-5,0,49
-6,-21,0,49
8,7,0,49
-9,17,0,49
10,5,0,49
-3,-11,0,49
-12,-14,0,49
-2,-4,0,49
-1,-1,0,49
-10,-1,0,49
-1,1,0,49
3,1,0,49
-6,2,0,49
3,0,0,49
-2,9,0,49
3,4,0,49
7,2,0,49
2,0,0,49
-13,0,0,49
0,0,0,49
-8,3,0,49
21,-9,0,49
-2,-5,0,39
-8,-1,0,39
1,-1,0,39
7,-2,0,39
-7,5,0,39
-5,0,0,39
1,0,0,39
7,-2,0,39
2,-2,0,39
2,-10,0,39
0,4,0,39
5,-5,0,39
5,6,0,39
-5,2,0,39
-30,-2,0,39
-11,-10,0,39
-7,-1,0,39
-10,7,0,39
-20,0,0,39
-21,-4,0,39
-95,6,0,39
-17,22,0,39
45,7,0,39
45,7,1,39
258,-7,0,39
42,-61,0,60
-27,6,0,54
-52,16,0,54
-122,27,0,54
-43,4,0,54
6,-4,0,54
33,-12,0,54
17,0,0,47
38,-9,0,47
18,0,0,44
16,-2,0,44
